epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.275,0.83866,2.23897,1.21502,0.68923,0.55662,0.67261,0.51105,0.84591,2.16964,1.25816,0.000410354,0.000410354,0.000410354
2,1370.73,0.91435,1.50318,1.24079,0.68146,0.59026,0.65324,0.41392,1.24261,2.25556,1.75619,0.000786083,0.000786083,0.000786083
3,2095.05,0.96533,1.44777,1.26458,0.56208,0.60355,0.63065,0.4353,0.99761,3.1155,1.41635,0.00112056,0.00112056,0.00112056
4,2657.75,0.95235,1.32894,1.2499,0.66263,0.694,0.72892,0.51346,1.00297,1.71369,1.41883,0.00106437,0.00106437,0.00106437
5,3202.22,0.93476,1.27245,1.25098,0.82771,0.69521,0.81362,0.56966,1.13488,1.72844,1.58215,0.0010025,0.0010025,0.0010025
6,3743.48,0.91346,1.15358,1.22322,0.83743,0.77793,0.86522,0.63115,1.034,1.29551,1.41008,0.000940625,0.000940625,0.000940625
7,4286.48,0.88035,1.09921,1.20998,0.81598,0.73336,0.83195,0.6012,0.99337,1.58628,1.46587,0.00087875,0.00087875,0.00087875
8,4824.24,0.89402,1.05348,1.22206,0.86584,0.83117,0.89943,0.68109,0.94593,0.98271,1.34427,0.000816875,0.000816875,0.000816875
9,5370.75,0.80889,0.96352,1.17832,0.82643,0.78386,0.87273,0.65975,1.02295,1.08075,1.44809,0.000755,0.000755,0.000755
10,5909.04,0.81825,0.91465,1.17316,0.85055,0.82098,0.88293,0.67109,1.07392,0.95602,1.51729,0.000693125,0.000693125,0.000693125
11,6439.26,0.75771,0.92541,1.1464,0.90075,0.87175,0.91223,0.69987,0.89065,1.0721,1.37767,0.00063125,0.00063125,0.00063125
12,6974.69,0.70469,0.79216,1.11578,0.94876,0.8194,0.92784,0.72566,0.96447,0.81974,1.48167,0.000569375,0.000569375,0.000569375
13,7505.68,0.69153,0.73505,1.10756,0.92097,0.85411,0.92696,0.73213,0.79686,0.95243,1.19826,0.0005075,0.0005075,0.0005075
14,8035.75,0.65934,0.69246,1.0856,0.89732,0.84981,0.93016,0.72995,0.95306,0.78092,1.36679,0.000445625,0.000445625,0.000445625
15,8565.36,0.63767,0.64694,1.05841,0.88851,0.85551,0.92866,0.72607,0.85114,0.86689,1.29254,0.00038375,0.00038375,0.00038375
16,9103.32,0.60619,0.61907,1.0427,0.88913,0.89163,0.94138,0.74627,0.91626,0.71415,1.45199,0.000321875,0.000321875,0.000321875
17,9637.17,0.59575,0.56748,1.02894,0.93737,0.86556,0.9389,0.75829,0.84072,0.8179,1.32279,0.00026,0.00026,0.00026
18,10169.2,0.5711,0.55031,1.01294,0.93959,0.88826,0.95382,0.77058,0.79046,0.68036,1.24514,0.000198125,0.000198125,0.000198125
19,10701.8,0.54669,0.51777,0.99556,0.9348,0.88919,0.94761,0.77914,0.88616,0.66277,1.31809,0.00013625,0.00013625,0.00013625
20,11234.9,0.526,0.48865,0.97899,0.91122,0.90413,0.94788,0.78324,0.88661,0.62688,1.35081,7.4375e-05,7.4375e-05,7.4375e-05
